InfoScanned 104.244.42.2:78, closed
InfoScanned 104.244.42.1:78, closed
Info: Scanned 104.244.42.1:78, closed
Info: Scanned 104.244.42.3:78, closed
Info: Scanned 104.244.42.2:78, closed
Info: Scanned 104.244.42.4:78, closed
Info: Scanned 104.244.42.1:79, closed
Info: Scanned 104.244.42.2:79, closed
Info: Scanned 104.244.42.3:79, closed
Info: Scanned 104.244.42.4:79, closed
Info: Scanned 104.244.42.1:80, opened
Info: Scanned 104.244.42.2:80, opened
Info: Scanned 104.244.42.3:80, opened
Info: Scanned 104.244.42.4:80, opened
Info: Scanned 104.244.42.1:81, closed
Info: Scanned 104.244.42.4:81, closed
Info: Scanned 104.244.42.3:81, closed
Info: Scanned 104.244.42.2:81, closed
Info: Scanned 104.244.42.3:82, closed
Info: Scanned 104.244.42.1:82, closed
Info: Scanned 104.244.42.2:82, closed
Info: Scanned 104.244.42.4:82, closed
Info: Scanned 104.244.42.3:83, closed
Info: Scanned 104.244.42.1:83, closed
Info: Scanned 104.244.42.2:83, closed
Info: Scanned 104.244.42.4:83, closed
Info: Scanned 104.244.42.4:79, closed
Info: Scanned 104.244.42.2:79, closed
Info: Scanned 104.244.42.1:79, closed
Info: Scanned 104.244.42.3:79, closed
Info: Scanned 104.244.42.4:80, opened
Info: Scanned 104.244.42.2:80, opened
Info: Scanned 104.244.42.1:80, opened
Info: Scanned 104.244.42.3:80, opened
Info: Scanned 104.244.42.3:79, closed
Info: Scanned 104.244.42.2:79, closed
Info: Scanned 104.244.42.1:79, closed
Info: Scanned 104.244.42.4:79, closed
Info: Scanned 104.244.42.3:80, opened
Info: Scanned 104.244.42.2:80, opened
Info: Scanned 104.244.42.1:80, opened
Info: Scanned 104.244.42.4:80, opened
